mean sst,stdev sst,n,satellite date,requested lon min,requested lon max,requested lat min,requested lat max,requested date,median sst,mad sst
27.067945268419052,0.14064574691351076,36,2010-11-29,50.656,50.856,-15.492,-15.692,14939,27.117351531982422,0.1089875919342041
27.12153498331706,0.12223055100635744,36,2010-11-29,50.623,50.823,-15.489,-15.689,14939,27.15392780303955,0.08665759220123291
27.15215867360433,0.087436943960482,30,2010-11-29,50.586999999999996,50.787,-15.441,-15.641,14939,27.17006492614746,0.06698858528137207
27.140938758850098,0.12371369944286138,36,2010-11-29,50.607,50.807,-15.397,-15.597,14940,27.16791343688965,0.07017696933746337
27.132053565979003,0.13488285722334462,30,2010-11-29,50.605,50.805,-15.337,-15.536999999999999,14940,27.12631607055664,0.14248329849243163
27.08844871520996,0.12304557699414959,30,2010-11-29,50.632999999999996,50.833,-15.324,-15.524,14940,27.09260845184326,0.11855839977264404
27.004777018229166,0.11962156752046996,30,2010-11-29,50.667,50.867000000000004,-15.291,-15.491,14940,27.01049041748047,0.13184922466278076
26.982938766479492,0.12019362187087218,36,2010-11-29,50.707,50.907000000000004,-15.27,-15.469999999999999,14941,26.961362838745117,0.11855698585510253
26.95114352968004,0.11433169447546186,36,2010-11-29,50.742,50.942,-15.262,-15.462,14941,26.947736740112305,0.1089875919342041
26.924647596147324,0.10739436360177594,36,2010-11-29,50.777,50.977000000000004,-15.290000000000001,-15.49,14941,26.92012596130371,0.11483555488586425
26.920563591851128,0.10089901638425977,36,2010-11-29,50.817,51.017,-15.278,-15.478,14941,26.92012596130371,0.08453247413635254
26.906283696492512,0.09427799162147506,30,2010-11-29,50.836999999999996,51.037,-15.277000000000001,-15.477,14942,26.910801887512207,0.09038043708801269
26.928691758049858,0.11212931738022276,36,2010-11-29,50.845,51.045,-15.284,-15.484,14942,26.919050216674805,0.10845595893859862
26.928691758049858,0.11212931738022276,36,2010-11-29,50.845,51.045,-15.284,-15.484,14942,26.919050216674805,0.10845595893859862
26.964949544270834,0.11548760131468845,30,2010-11-29,50.9,51.1,-15.251000000000001,-15.451,14942,26.96494960784912,0.09729166603088378
26.947689247131347,0.1574344787504723,30,2010-11-29,50.92,51.120000000000005,-15.248000000000001,-15.448,14943,26.997581481933594,0.07868451118469239
26.979460525512696,0.12953225500929383,30,2010-11-29,50.924,51.124,-15.268,-15.468,14943,26.997581481933594,0.1004814640045166
26.99285994635688,0.12838812480071257,36,2010-11-29,50.957,51.157000000000004,-15.288,-15.488,14943,27.008338928222656,0.102076362991333
26.99285994635688,0.12838812480071257,36,2010-11-29,50.957,51.157000000000004,-15.288,-15.488,14943,27.008338928222656,0.102076362991333
26.99285994635688,0.12838812480071257,36,2010-11-29,50.957,51.157000000000004,-15.288,-15.488,14943,27.008338928222656,0.102076362991333
26.95996904373169,0.14813225827252333,36,2010-11-29,50.936,51.136,-15.243,-15.443,14944,27.00152587890625,0.08612737312316894
26.95996904373169,0.14813225827252333,36,2010-11-29,50.936,51.136,-15.243,-15.443,14944,27.00152587890625,0.08612737312316894
26.94018274943034,0.17157342302867254,30,2010-11-29,50.983,51.183,-15.171000000000001,-15.371,14944,26.98467254638672,0.12334451065063476
26.95769797431098,0.14148808785614234,36,2010-11-29,51.019999999999996,51.22,-15.141,-15.341,14945,26.988616943359375,0.13823023452758787
26.98101448059082,0.13476670778897817,25,2010-11-29,51.048,51.248000000000005,-15.127,-15.327,14945,27.002960205078125,0.153115958404541
26.991126749250625,0.13140722049503523,36,2010-11-29,51.079,51.279,-15.141,-15.341,14945,27.00116729736328,0.14779962844848632
26.994314246707493,0.11261914920372727,36,2010-11-29,51.113,51.313,-15.136000000000001,-15.336,14945,27.00116729736328,0.10951922492980956
27.00090440114339,0.11054166646568644,30,2010-11-29,51.106,51.306000000000004,-15.13,-15.33,14946,27.006187438964844,0.102076362991333
26.994314246707493,0.11261914920372727,36,2010-11-29,51.117,51.317,-15.139000000000001,-15.339,14946,27.00116729736328,0.10951922492980956
27.018080870310467,0.10462439497191267,36,2010-11-29,51.135999999999996,51.336,-15.107000000000001,-15.307,14946,27.009414672851563,0.10951922492980956
27.015471193525528,0.09216576825088578,36,2010-11-29,51.153999999999996,51.354,-15.067,-15.267,14946,27.006187438964844,0.10313962898254395
